70002900,SBN Quadra 1 Bloco A,,Asa Norte,1448,7
70002901,SBN Quadra 1 Bloco A 19º Andar,,Asa Norte,1448,7
70002903,SBN Quadra 1 Bloco A 20º andar,,Asa Norte,1448,7
70002904,SBN Quadra 1 Bloco A 10º andar,,Asa Norte,1448,7
70002905,SBN Quadra 1 Bloco A 7º andar,,Asa Norte,1448,7
70003902,SBN Quadra 1 Bloco A,,Asa Norte,1448,7
70037900,SAUS Quadra 6 Bloco A,,Asa Sul,1448,7
70040010,Quadra SBN Quadra 1,,Asa Norte,1448,7
70040020,Quadra SBN Quadra 2,,Asa Norte,1448,7
70040100,Galeria Oeste,,Asa Norte,1448,7
70040210,Quadra SAUN Quadra 1,,Asa Norte,1448,7
70040220,Quadra SAUN Quadra 2,,Asa Norte,1448,7
70040230,Quadra SAUN Quadra 3,,Asa Norte,1448,7
70040240,Quadra SAUN Quadra 4,,Asa Norte,1448,7
70040250,Quadra SAUN Quadra 5,,Asa Norte,1448,7
70040901,SAUN Quadra 1 Bloco D,,Asa Norte,1448,7
70040902,SAUN Quadra 3 Bloco A,,Asa Norte,1448,7
70040903,SBN Quadra 1 Bloco C,,Asa Norte,1448,7
70040904,SBN Quadra 2 Bloco H,,Asa Norte,1448,7
70040905,SBN Quadra 2 Bloco J,,Asa Norte,1448,7
70040906,Esplanada dos Ministérios Bloco K,,Zona Cívico-Administrativa,1448,7
70040907,SBN Quadra 1 Bloco H,,Asa Norte,1448,7
70040908,SBN Quadra 1 Bloco F,,Asa Norte,1448,7
70040909,SBN Quadra 2 Bloco A,,Asa Norte,1448,7
70040910,SBN Quadra 2 Bloco D Loja 10,,Asa Norte,1448,7
70040911,SBN Quadra 2 Bloco F,,Asa Norte,1448,7
70040976,SBN Quadra 1 Bloco A Térreo,,Asa Norte,1448,7
70040977,SBN Quadra 1 Bloco A Térreo,,Asa Norte,1448,7
70040999,SBN Quadra 1 Bloco A Térreo,,Asa Norte,1448,7
70041900,SBN Quadra 2 Bloco G,,Asa Norte,1448,7
70041901,SBN Quadra 2 Bloco K,,Asa Norte,1448,7
70041902,SBN Quadra 1 Bloco B Lote 14,,Asa Norte,1448,7
70041903,SAUN Quadra 1 Bloco B,,Asa Norte,1448,7
70041904,SAUN Quadra 1 Bloco E,,Asa Norte,1448,7
70041905,SCTN Lote Único,,Zona Cívico-Administrativa,1448,7
70041906,SBN Quadra 2 Bloco F Lote 12,,Asa Norte,1448,7
70041907,SBN Quadra 2 Lote 11,,Asa Norte,1448,7
70042900,SAFS Quadra 4 Lote 1,,Zona Cívico-Administrativa,1448,7
70043900,Esplanada dos Ministérios Bloco D,,Zona Cívico-Administrativa,1448,7
70044900,Esplanada dos Ministérios Bloco R,,Zona Cívico-Administrativa,1448,7
70044902,Esplanada dos Ministérios Bloco R,,Zona Cívico-Administrativa,1448,7
70045900,Esplanada dos Ministérios Bloco M,,Zona Cívico-Administrativa,1448,7
70046900,Esplanada dos Ministérios Bloco C,,Zona Cívico-Administrativa,1448,7
70047900,Esplanada dos Ministérios Bloco L,,Zona Cívico-Administrativa,1448,7
70048900,Esplanada dos Ministérios Bloco P,,Zona Cívico-Administrativa,1448,7
70049900,Esplanada dos Ministérios Bloco Q,,Zona Cívico-Administrativa,1448,7
70049970,Praça dos Três Poderes Anexo III,,Zona Cívico-Administrativa,1448,7
70049971,Praça dos Três Poderes Anexo II,,Zona Cívico-Administrativa,1448,7
70050000,Esplanada dos Ministérios,,Zona Cívico-Administrativa,1448,7
70050115,Setor SGMN Bloco C,(Via N3),Zona Cívico-Administrativa,1448,7
70050900,SAFS Quadra 4 Lote 03,,Zona Cívico-Administrativa,1448,7
70050901,Esplanada dos Ministérios Bloco A,,Zona Cívico-Administrativa,1448,7
70050902,Esplanada dos Ministérios Bloco A 8º Andar,,Zona Cívico-Administrativa,1448,7
70050903,Esplanada dos Ministérios Bloco A 6º Andar,,Zona Cívico-Administrativa,1448,7
70050904,Esplanada dos Ministérios Bloco A 1º andar,,Zona Cívico-Administrativa,1448,7
70050907,Esplanada dos Ministérios Bloco A 5º Andar,,Zona Cívico-Administrativa,1448,7
70050970,Esplanada dos Ministérios Bloco R Sala 118,,Zona Cívico-Administrativa,1448,7
70052900,Esplanada dos Ministérios Bloco O,,Zona Cívico-Administrativa,1448,7
70053900,Esplanada dos Ministérios Bloco J,,Zona Cívico-Administrativa,1448,7
